Station Name,Waterway,Year,Phosphorous_Average,Phosphorous_Min,Phosphorous_Max,x,y,NO2_NO3_Average,NO2_NO3_Min,NO2_NO3_Max,Fecal_Coliform_Average,Fecal_Coliform_Min,Fecal_Coliform_Max,Chlorophyll-A_Average,Chlorophyll-A_Min,Chlorophyll-A_Max,NH3_Average,NH3_Min,NH3_Max,Chloride_Average,Chloride_Min,Chloride_Max,TKN_Average,TKN_Min,TKN_Max,Total_Dissolved_Solids_Average,Total_Dissolved_Solids_Min,Total_Dissolved_Solids_Max,SO4_Average,SO4_Min,SO4_Max,Suspended_Solids_Average,Suspended_Solids_Min,Suspended_Solids_Max,TOC_Average,TOC_Min,TOC_Max
Willow Springs Road,Des Plaines River,2024,0.46,0.22,0.8,-9782918.22214516,5121485.94585754,5.13,1.78,10.61,215.0,70.0,2400.0,9.0,1,33.0,0.06,&lt RL,0.17,167.0,101,417.0,1,1,1,620.0,472.0,986.0,62.0,34,86.0,21,8,38,6,5,9
Wilson Avenue,North Branch Chicago River,2024,0.97,0.41,1.65,-9762427.895694705,5155720.021993471,6.73,2.21,10.27,390.0,60.0,11000.0,2.0,1,4.0,0.68,0.05,1.74,107.0,52,267.0,2,1,3,474.0,236.0,746.0,44.0,20,57.0,9,3,28,5,4,6
139th Street,Midlothian Creek,2023,0.09,&lt RL,0.31,-9762565.693509998,5107888.2094410425,0.59,0.1,1.07,,,,,,,0.05,&lt RL,0.24,,,,1,1,1,602.0,360.0,1584.0,,,,38,1,324,6,5,10
Albany Avenue,North Branch Chicago River,2023,0.2,0.07,0.29,-9764088.462110575,5156857.124687181,5.25,1.39,10.04,535.0,140.0,1400.0,7.0,1,13.0,0.03,&lt RL,0.1,209.0,164,329.0,1,0,1,636.0,424.0,824.0,50.0,37,60.0,10,3,36,6,4,7
Archer Avenue,Bubbly Creek,2023,0.6,0.21,0.98,-9758696.948071493,5136817.240627698,4.45,0.75,9.55,35.0,4.0,280.0,59.0,12,273.0,0.41,&lt RL,1.23,124.0,69,363.0,2,0,5,471.0,288.0,838.0,43.0,32,55.0,11,5,22,5,4,6
Arlington Dr.,West Branch DuPage River,2023,2.4,0.57,4.3,-9811547.219382191,5157233.888994125,13.67,4.67,22.22,580.0,230.0,10000.0,11.0,4,19.0,0.17,&lt RL,0.55,162.0,103,347.0,2,1,4,615.0,486.0,860.0,61.0,49,71.0,32,16,70,7,6,10
Ashland Avenue,Little Calumet River,2023,0.82,0.35,1.6,-9758345.734333793,5108959.791525536,3.07,1.37,4.8,760.0,50.0,29000.0,18.0,2,68.0,0.12,0,0.26,135.0,95,583.0,1,1,2,822.0,448.0,1494.0,215.0,53,458.0,28,5,103,6,5,8
Belmont Avenue,Des Plaines River,2023,0.26,0.14,0.4,-9779371.53102385,5151588.097147647,5.23,2.04,8.85,600.0,230.0,1100.0,4.0,1,13.0,0.13,&lt RL,1.08,191.0,163,443.0,1,0,2,632.0,536.0,928.0,61.0,43,79.0,13,3,42,6,5,9
Brookfield Avenue,Salt Creek,2023,1.35,0.69,2.18,-9778479.118246686,5134478.740255858,7.46,3.37,12.46,1000.0,230.0,5200.0,11.0,2,20.0,0.05,&lt RL,0.18,166.0,157,181.0,1,1,1,565.0,528.0,604.0,65.0,55,80.0,15,9,28,6,6,8
Burnham Avenue,Grand Calumet River,2023,0.15,&lt RL,0.6,-9744810.951107476,5105915.20396417,7.28,3.63,14.22,260.0,30.0,4100.0,10.0,3,24.0,0.17,0,0.65,156.0,95,264.0,1,1,3,726.0,514.0,914.0,152.0,93,216.0,9,3,19,7,6,9
Chatham Road,Midlothian Creek,2023,0.08,&lt RL,0.26,-9759961.818484122,5107888.209656332,0.53,0,1.02,,,,,,,0.09,&lt RL,0.29,,,,1,1,1,600.0,288.0,1838.0,,,,40,3,228,7,5,9
Cicero Avenue,Chicago Sanitary and Ship Canal,2023,0.77,0.31,1.61,-9767527.508297496,5134013.305608013,4.97,2.02,9.04,40.0,9.0,330.0,7.0,1,17.0,0.44,0.07,1.17,116.0,53,298.0,1,0,3,452.0,256.0,770.0,43.0,28,58.0,8,5,13,5,3,6
Cicero Avenue,Calumet-Sag Channel,2023,2.05,0.59,3.75,-9766975.298081215,5109491.834437173,6.12,2.52,9.63,70.0,9.0,9300.0,17.0,1,82.0,0.24,0.03,0.64,147.0,104,531.0,1,1,2,626.0,438.0,1178.0,118.0,64,146.0,22,8,66,6,5,8
Dempster St.,North Shore Channel,2023,0.04,&lt RL,0.33,-9763803.49250606,5167131.2098396,1.12,0.01,8.59,20.0,9.0,1100.0,16.0,1,63.0,0.05,&lt RL,0.16,69.0,15,321.0,1,&lt RL,1,365.0,140.0,720.0,38.0,23,70.0,10,2,27,3,2,5
Devon Avenue,Salt Creek,2023,2.47,0.13,5.8,-9795587.075606022,5159923.790866642,10.43,0.95,19.58,730.0,120.0,6100.0,8.0,4,21.0,0.3,0.01,1.76,177.0,129,293.0,1,0,3,623.0,528.0,752.0,61.0,51,69.0,9,3,27,7,5,10
Diversey Parkway,North Branch Chicago River,2023,1.1,0.33,2.02,-9760793.273420712,5150867.342273781,6.62,3.98,9.54,425.0,120.0,4600.0,3.0,1,7.0,0.44,0.11,1.28,124.0,91,308.0,1,1,2,493.0,336.0,734.0,46.0,38,58.0,9,5,12,5,5,7
Elmhurst Road,Higgins Creek,2023,0.1,&lt RL,0.53,-9789503.463971144,5164194.269628853,0.31,&lt RL,0.78,420.0,50.0,29000.0,12.0,1,38.0,0.11,&lt RL,0.26,334.0,177,857.0,1,&lt RL,3,806.0,472.0,1584.0,40.0,24,56.0,28,6,86,7,4,11
Halsted Street,Little Calumet River,2023,1.63,0.43,2.65,-9756147.689317685,5109826.122291395,5.89,2.11,10.81,85.0,9.0,3700.0,12.0,1,38.0,0.18,&lt RL,0.49,146.0,89,387.0,1,1,3,573.0,350.0,934.0,94.0,53,308.0,8,3,13,6,4,7
Harlem Avenue,Chicago Sanitary and Ship Canal,2023,0.7,0.18,2.15,-9774026.337077957,5131234.839862472,6.89,4.16,10.32,6150.0,1400.0,25000.0,4.0,1,10.0,0.25,&lt RL,0.5,139.0,83,317.0,1,0,3,523.0,354.0,788.0,62.0,39,87.0,5,3,14,5,4,7
Higgins Road,Salt Creek,2023,0.05,&lt RL,0.11,-9797375.60963822,5165675.359292448,0.32,&lt RL,1.4,240.0,30.0,710.0,20.0,8,49.0,0.06,&lt RL,0.18,250.0,203,493.0,1,0,2,754.0,588.0,1056.0,59.0,47,70.0,21,11,39,7,6,10
