Station Name,Station Number,Station Description,Parameter Description,Units of Measure,Year,Result Count,Result Average,Result Min,Result Max,Waterway,x,y
Dempster St.,112,North Shore Channel at Dempster Street,Suspended Solids,mg/L,2012,5,13,3,36,North Shore Channel,-9763803.492506059,5167131.2098396
Dempster Street,34,North Branch Chicago River at Dempster Street,Suspended Solids,mg/L,2012,7,16,6,38,North Branch Chicago River,-9772519.197048591,5167261.607014383
Devon Avenue,18,Salt Creek at Devon Avenue,Suspended Solids,mg/L,2012,12,9,3,15,Salt Creek,-9795587.075606022,5159923.790866642
Diversey Parkway,73,North Branch Chicago River at Diversey Parkway,Suspended Solids,mg/L,2012,12,14,3,26,North Branch Chicago River,-9760793.273420712,5150867.342273781
Dundee Road,106,West Fork North Branch Chicago River at Dundee Road,Suspended Solids,mg/L,2012,5,25,4,47,West Fork North Branch Chicago River,-9777719.3660057,5181767.818476338
Elmhurst Road,77,Higgins Creek at Elmhurst Road,Suspended Solids,mg/L,2012,8,29,10,68,Higgins Creek,-9789503.463971145,5164194.269628853
Ewing Avenue,49,Calumet River at Ewing Avenue,Suspended Solids,mg/L,2012,6,10,3,17,Calumet River,-9745075.86152176,5120263.120285954
Foster Avenue,101,North Shore Channel at Foster Avenue,Suspended Solids,mg/L,2012,7,10,3,18,North Shore Channel,-9763248.504184216,5157380.484896455
Frontage Road,105,Skokie River at Frontage Road,Suspended Solids,mg/L,2012,7,15,11,19,Skokie River,-9769467.187323028,5174142.560835846
Glenview Road,104,North Branch Chicago River at Glenview Road,Suspended Solids,mg/L,2012,7,12,4,34,North Branch Chicago River,-9770990.71844705,5171319.185344051
Golf Road,103,West Fork North Branch Chicago River at Golf Road,Suspended Solids,mg/L,2012,7,23,4,56,West Fork North Branch Chicago River,-9771841.694236573,5169273.313312094
Grand Avenue,46,North Branch Chicago River at Grand Avenue,Suspended Solids,mg/L,2012,7,12,9,18,North Branch Chicago River,-9756156.248665709,5144758.297382973
Halsted Street,76,Little Calumet River at Halsted Street,Suspended Solids,mg/L,2012,11,9,4,24,Little Calumet River,-9756147.689317683,5109826.122291395
Harlem Avenue,41,Chicago Sanitary and Ship Canal at Harlem Avenue,Suspended Solids,mg/L,2012,12,9,4,21,Chicago Sanitary and Ship Canal,-9774026.337077957,5131234.839862472
Higgins Road,79,Salt Creek at Higgins Road,Suspended Solids,mg/L,2012,11,13,5,32,Salt Creek,-9797375.60963822,5165675.359292448
