Station Name,Station Description,Parameter Description,Units,Year,Result Count,Result Min,Result Max,Result Median,Waterway,x,y
Lockport Powerhouse,Chicago Sanitary and Ship Canal at Lockport Powerhouse Forebay,Chloride,mg/L,2020,46,60,708,115,Chicago Sanitary and Ship Canal,-9804834.016711399,5096870.642820761
Loomis Street,South Branch Chicago River at Loomis Street,Chloride,mg/L,2020,11,53,452,95,South Branch Chicago River,-9758326.630046986,5137947.951214144
Material Service Road,Des Plaines River at Material Service Road,Chloride,mg/L,2020,12,115,356,144,Des Plaines River,-9803757.593335949,5100729.017568359
Ogden Avenue,Des Plaines River at Ogden Avenue,Chloride,mg/L,2020,12,103,333,145,Des Plaines River,-9775033.160497827,5134155.08934849
Route 83,Calumet-Sag Channel at Route 83,Chloride,mg/L,2020,10,79,291,96,Calumet-Sag Channel,-9789029.93158179,5115601.921870255
Springinsguth Rd.,West Branch DuPage River at Springinsguth Road,Chloride,mg/L,2020,12,58,725,275,West Branch Du Page River,-9809372.143319122,5162219.006850576
Stephen Street,Chicago Sanitary and Ship Canal at Stephen Street,Chloride,mg/L,2020,10,54,516,109,Chicago Sanitary and Ship Canal,-9796052.154215598,5113077.68374999
Touhy Avenue,North Shore Channel at Touhy Avenue,Chloride,mg/L,2020,12,60,851,104,North Shore Channel,-9763880.193364626,5162772.158302309
Wells Street,Chicago River at Wells Street,Chloride,mg/L,2020,11,16,440,46,Chicago River,-9755339.676982595,5144145.544547021
Wille Road,Higgins Creek at Wille Road,Chloride,mg/L,2020,12,117,321,157,Higgins Creek,-9789066.534741784,5163778.873133089
Willow Springs Road,Des Plaines River at Willow Springs Road,Chloride,mg/L,2020,12,106,342,146,Des Plaines River,-9782918.22214516,5121485.94585754
Wilson Avenue,North Branch Chicago River at Wilson Avenue,Chloride,mg/L,2020,12,95,772,112,North Branch Chicago River,-9762427.895694703,5155720.021993471
Albany Avenue,North Branch Chicago River at Albany Avenue,Chloride,mg/L,2019,12,89,846,217,North Branch Chicago River,-9764088.462110577,5156857.124687181
Archer Avenue,Bubbly Creek at Archer Avenue,Chloride,mg/L,2019,9,78,653,152,Bubbly Creek,-9758696.948071491,5136817.240627698
Arlington Dr.,West Branch DuPage River at Arlington Drive,Chloride,mg/L,2019,11,85,679,165,West Branch DuPage River,-9811547.219382191,5157233.888994125
Ashland Avenue,Little Calumet River at Ashland Avenue,Chloride,mg/L,2019,10,35,263,140,Little Calumet River,-9758345.734333793,5108959.791525536
Belmont Avenue,Des Plaines River at Belmont Avenue,Chloride,mg/L,2019,12,62,721,157,Des Plaines River,-9779371.53102385,5151588.097147647
